Id,ReceiptNo,TransactionDate,TenancyId,ReferenceNo,PaymentMode,ReceiptAmount,CapturedBy,Narration,Status,IDNumber,PayBillNo
4489,R4489,2022-04-28 20:52:19.403536,321,QDS6567TU4,1,10000.00,System,,Posted,,345345
4560,R4560,2022-05-05 23:31:15.939507,221,QE56ILUC78,1,10000.00,System,,Posted,,345345
5104,R5104,2022-06-06 01:33:06.321678,456,QF668YMG2E,1,8500.00,System,,Posted,,4051511
4634,R4634,2022-05-09 21:37:06.728329,358,QE92QEJ044,1,21000.00,System,,Posted,,345345
4793,R4793,2022-05-11 19:13:53.720468,49,QEB5TZHP59,1,12500.00,System,,Posted,,345345
6572,R6572,2022-09-29 16:39:08.015038,71,QIT8VW8N6I,1,2000.00,System,,Posted,,345345
4877,R4877,2022-05-14 17:03:56.409609,253,QEE8ZJ9VU4,1,5000.00,System,,Posted,,345345
5189,R5189,2022-06-08 22:06:01.172049,538,QF12Z3CDWW,1,500.00,System,,Posted,,345345
4946,R4946,2022-05-21 18:02:53.360533,19,QEL2DWZOXA,1,8000.00,System,,Posted,,345345
5021,R5021,2022-06-01 07:11:38.532295,121,QF19Y36SSZ,1,2000.00,System,,Posted,,345345
5708,R5708,2022-07-28 18:18:27.608434,158,QGS192H5O9,1,10000.00,System,,Posted,,345345
5091,R5091,2022-06-05 14:00:34.361326,55,QF547T4W66,1,12500.00,System,,Posted,,345345
5190,R5190,2022-06-08 22:06:08.856589,538,QES8QZHOTW,1,11000.00,System,,Posted,,345345
5191,R5191,2022-06-08 22:07:47.662615,538,QEV2XHEESG,1,11500.00,System,,Posted,,345345
5263,R5263,2022-06-13 14:41:12.711774,32,QFD7NS5321,1,8000.00,System,,Posted,,345345
5774,R5774,2022-08-03 19:18:55.612065,34,QH36LS7B9A,1,7000.00,System,,Posted,,345345
5362,R5362,2022-06-29 10:44:31.276984,430,QFT2JM3D00,1,7000.00,System,,Posted,,4051511
5432,R5432,2022-07-05 20:45:35.79708,498,QG59XKH0U9,1,13500.00,System,,Posted,,345345
7268,R7268,2022-11-12 17:00:34.506834,651,QKA7N2HN1B,1,20000.00,System,,Posted,,345345
5506,R5506,2022-07-08 19:00:19.620243,158,QG824PASCI,1,3500.00,System,,Posted,,345345
5846,R5846,2022-08-08 09:53:36.309767,313,QH88V0UBTC,1,4000.00,System,,Posted,,345345
5575,R5575,2022-07-12 20:18:39.290006,463,QGC8D34NXC,1,7000.00,System,,Posted,,4051511
5657,R5657,2022-07-20 09:44:33.947113,15,QGK7RINMTN,1,8000.00,System,,Posted,,345345
6643,R6643,2022-10-04 20:31:37.731209,391,QJ4399WLON,1,500.00,System,,Posted,,4051511
5889,R5889,2022-08-10 22:14:35.918523,20,QHA5117CCH,1,8000.00,System,,Posted,,345345
5953,R5953,2022-08-15 15:23:52.328804,341,QHF8949EH0,1,14500.00,System,,Posted,,345345
7121,R7121,2022-11-07 10:35:38.809769,614,QK78FONP0Q,1,7000.00,System,,Posted,,4051511
6022,R6022,2022-08-19 11:25:19.066543,568,QH66S5IGG8,1,15000.00,System,,Posted,,4051511
6644,R6644,2022-10-04 20:33:24.359634,542,QJ489A2SZE,1,15500.00,System,,Posted,,345345
6094,R6094,2022-08-22 13:33:59.096541,587,QHM3LWX9SZ,1,15000.00,System,,Posted,,4051511
6167,R6167,2022-08-30 14:30:44.372334,279,QHU62MITKA,1,500.00,System,,Posted,,345345
6236,R6236,2022-09-05 14:02:02.147538,388,QI58F6G4WK,1,7000.00,System,,Posted,,345345
6721,R6721,2022-10-07 13:51:42.99778,388,QJ75F9O4A3,1,5000.00,System,,Posted,,345345
6310,R6310,2022-09-07 20:39:15.842526,310,QI70KEZ0GA,1,5000.00,System,,Posted,,345345
6386,R6386,2022-09-11 14:11:35.273591,268,QIB0RYE31Q,1,13500.00,System,,Posted,,345345
6387,R6387,2022-09-11 14:13:15.602064,222,QIB7RYIEBX,1,14500.00,System,,Posted,,345345
6792,R6792,2022-10-10 07:41:51.730182,390,QJA8LCJ8RG,1,5000.00,System,,Posted,,4051511
6427,R6427,2022-09-14 20:26:32.973753,188,QIE2Z1NFEE,1,8500.00,System,,Posted,,345345
