Id,InvoiceNo,InvoiceDate,TenancyId,CancelledBy,CreatedBy,Status,DueDate,ApartmentNo,BuildingNo,IDNumber,ArrearAmount
5,INV5,2020-09-01 00:00:00.0,31,,,Posted,2020-09-05 00:00:00.0,,,,10500
6,INV6,2020-09-01 00:00:00.0,32,,,Posted,2020-09-05 00:00:00.0,,,,0
7,INV7,2020-09-01 00:00:00.0,33,,,Posted,2020-09-05 00:00:00.0,,,,15500
42,INV42,2020-09-01 00:00:00.0,68,,,Posted,2020-09-05 00:00:00.0,,,,13652
45,INV45,2020-09-01 00:00:00.0,71,,,Unconfirmed,2020-09-05 00:00:00.0,,,,13652
46,INV46,2020-09-01 00:00:00.0,72,,,Unconfirmed,2020-09-05 00:00:00.0,,,,-411
47,INV47,2020-09-01 00:00:00.0,73,,,Unconfirmed,2020-09-05 00:00:00.0,,,,14630
48,INV48,2020-09-01 00:00:00.0,74,,,Unconfirmed,2020-09-05 00:00:00.0,,,,13489
49,INV49,2020-09-01 00:00:00.0,75,,,Unconfirmed,2020-09-05 00:00:00.0,,,,13997
50,INV50,2020-09-01 00:00:00.0,76,,,Unconfirmed,2020-09-05 00:00:00.0,,,,13458
51,INV51,2020-09-01 00:00:00.0,77,,,Unconfirmed,2020-09-05 00:00:00.0,,,,12792
52,INV52,2020-09-01 00:00:00.0,78,,,Unconfirmed,2020-09-05 00:00:00.0,,,,163
53,INV53,2020-09-01 00:00:00.0,79,,,Unconfirmed,2020-09-05 00:00:00.0,,,,13326
54,INV54,2020-09-01 00:00:00.0,80,,,Unconfirmed,2020-09-05 00:00:00.0,,,,13000
55,INV55,2020-09-01 00:00:00.0,81,,,Unconfirmed,2020-09-05 00:00:00.0,,,,326
56,INV56,2020-09-01 00:00:00.0,82,,,Unconfirmed,2020-09-05 00:00:00.0,,,,17000
57,INV57,2020-09-01 00:00:00.0,83,,,Unconfirmed,2020-09-05 00:00:00.0,,,,17325.5
58,INV58,2020-09-01 00:00:00.0,84,,,Unconfirmed,2020-09-05 00:00:00.0,,,,16670.5
59,INV59,2020-09-01 00:00:00.0,85,,,Unconfirmed,2020-09-05 00:00:00.0,,,,12612
60,INV60,2020-09-01 00:00:00.0,86,,,Unconfirmed,2020-09-05 00:00:00.0,,,,17603
61,INV61,2020-09-01 00:00:00.0,87,,,Unconfirmed,2020-09-05 00:00:00.0,,,,0
668,N668,2020-10-26 00:00:00.0,85,,,Posted,2020-10-26 00:00:00.0,,,,
63,INV63,2020-09-01 00:00:00.0,89,,,Unconfirmed,2020-09-05 00:00:00.0,,,,11585
65,INV65,2020-09-01 00:00:00.0,91,,,Unconfirmed,2020-09-05 00:00:00.0,,,,20319
66,INV66,2020-09-01 00:00:00.0,92,,,Unconfirmed,2020-09-05 00:00:00.0,,,,15652
67,INV67,2020-09-01 00:00:00.0,93,,,Unconfirmed,2020-09-05 00:00:00.0,,,,19652
68,INV68,2020-09-01 00:00:00.0,94,,,Unconfirmed,2020-09-05 00:00:00.0,,,,21268
69,INV69,2020-09-01 00:00:00.0,95,,,Unconfirmed,2020-09-05 00:00:00.0,,,,16304
70,INV70,2020-09-01 00:00:00.0,96,,,Unconfirmed,2020-09-05 00:00:00.0,,,,15815
71,INV71,2020-09-01 00:00:00.0,97,,,Unconfirmed,2020-09-05 00:00:00.0,,,,1187
72,INV72,2020-09-01 00:00:00.0,98,,,Unconfirmed,2020-09-05 00:00:00.0,,,,0
73,INV73,2020-09-01 00:00:00.0,99,,,Unconfirmed,2020-09-05 00:00:00.0,,,,15489
102,INV102,2020-09-01 00:00:00.0,128,,,Unconfirmed,2020-09-05 00:00:00.0,,,,0
103,INV103,2020-09-01 00:00:00.0,129,,,Unconfirmed,2020-09-05 00:00:00.0,,,,9480
104,INV104,2020-09-01 00:00:00.0,130,,,Unconfirmed,2020-09-05 00:00:00.0,,,,16480
105,INV105,2020-09-01 00:00:00.0,131,,,Unconfirmed,2020-09-05 00:00:00.0,,,,14360
106,INV106,2020-09-01 00:00:00.0,132,,,Unconfirmed,2020-09-05 00:00:00.0,,,,14460
107,INV107,2020-09-01 00:00:00.0,133,,,Unconfirmed,2020-09-05 00:00:00.0,,,,240
108,INV108,2020-09-01 00:00:00.0,134,,,Unconfirmed,2020-09-05 00:00:00.0,,,,18840
109,INV109,2020-09-01 00:00:00.0,135,,,Unconfirmed,2020-09-05 00:00:00.0,,,,13220
110,INV110,2020-09-01 00:00:00.0,136,,,Unconfirmed,2020-09-05 00:00:00.0,,,,28600
111,INV111,2020-09-01 00:00:00.0,137,,,Unconfirmed,2020-09-05 00:00:00.0,,,,-690
112,INV112,2020-09-01 00:00:00.0,138,,,Unconfirmed,2020-09-05 00:00:00.0,,,,37480
113,INV113,2020-09-01 00:00:00.0,139,,,Unconfirmed,2020-09-05 00:00:00.0,,,,-545
114,INV114,2020-09-01 00:00:00.0,140,,,Unconfirmed,2020-09-05 00:00:00.0,,,,13720
115,INV115,2020-09-01 00:00:00.0,141,,,Unconfirmed,2020-09-05 00:00:00.0,,,,120
116,INV116,2020-09-01 00:00:00.0,142,,,Unconfirmed,2020-09-05 00:00:00.0,,,,13120
117,INV117,2020-09-01 00:00:00.0,143,,,Unconfirmed,2020-09-05 00:00:00.0,,,,19460
118,INV118,2020-09-01 00:00:00.0,144,,,Unconfirmed,2020-09-05 00:00:00.0,,,,17260
119,INV119,2020-09-01 00:00:00.0,145,,,Unconfirmed,2020-09-05 00:00:00.0,,,,13825
120,INV120,2020-09-01 00:00:00.0,146,,,Unconfirmed,2020-09-05 00:00:00.0,,,,35903
121,INV121,2020-09-01 00:00:00.0,147,,,Unconfirmed,2020-09-05 00:00:00.0,,,,9266
122,INV122,2020-09-01 00:00:00.0,148,,,Unconfirmed,2020-09-05 00:00:00.0,,,,10664
123,INV123,2020-09-01 00:00:00.0,149,,,Unconfirmed,2020-09-05 00:00:00.0,,,,21755
124,INV124,2020-09-01 00:00:00.0,150,,,Unconfirmed,2020-09-05 00:00:00.0,,,,9000
125,INV125,2020-09-01 00:00:00.0,151,,,Unconfirmed,2020-09-05 00:00:00.0,,,,10052
126,INV126,2020-09-01 00:00:00.0,152,,,Unconfirmed,2020-09-05 00:00:00.0,,,,9755
127,INV127,2020-09-01 00:00:00.0,153,,,Unconfirmed,2020-09-05 00:00:00.0,,,,9450
128,INV128,2020-09-01 00:00:00.0,154,,,Unconfirmed,2020-09-05 00:00:00.0,,,,9697
129,INV129,2020-09-01 00:00:00.0,155,,,Unconfirmed,2020-09-05 00:00:00.0,,,,10284
130,INV130,2020-09-01 00:00:00.0,156,,,Unconfirmed,2020-09-05 00:00:00.0,,,,10900
131,INV131,2020-09-01 00:00:00.0,157,,,Unconfirmed,2020-09-05 00:00:00.0,,,,7
132,INV132,2020-09-01 00:00:00.0,158,,,Unconfirmed,2020-09-05 00:00:00.0,,,,18290
133,INV133,2020-09-01 00:00:00.0,159,,,Unconfirmed,2020-09-05 00:00:00.0,,,,13703
134,INV134,2020-09-01 00:00:00.0,160,,,Unconfirmed,2020-09-05 00:00:00.0,,,,34414
136,INV136,2020-09-01 00:00:00.0,162,,,Unconfirmed,2020-09-05 00:00:00.0,,,,1250
10,INV10,2020-09-01 00:00:00.0,36,,,Unconfirmed,2020-09-05 00:00:00.0,,,,8500
11,INV11,2020-09-01 00:00:00.0,37,,,Unconfirmed,2020-09-05 00:00:00.0,,,,7500
12,INV12,2020-09-01 00:00:00.0,38,,,Unconfirmed,2020-09-05 00:00:00.0,,,,8000
13,INV13,2020-09-01 00:00:00.0,39,,,Unconfirmed,2020-09-05 00:00:00.0,,,,7000
14,INV14,2020-09-01 00:00:00.0,40,,,Unconfirmed,2020-09-05 00:00:00.0,,,,0
16,INV16,2020-09-01 00:00:00.0,42,,,Unconfirmed,2020-09-05 00:00:00.0,,,,0
17,INV17,2020-09-01 00:00:00.0,43,,,Unconfirmed,2020-09-05 00:00:00.0,,,,9000
18,INV18,2020-09-01 00:00:00.0,44,,,Unconfirmed,2020-09-05 00:00:00.0,,,,26500
19,INV19,2020-09-01 00:00:00.0,45,,,Unconfirmed,2020-09-05 00:00:00.0,,,,17500
20,INV20,2020-09-01 00:00:00.0,46,,,Unconfirmed,2020-09-05 00:00:00.0,,,,14500
21,INV21,2020-09-01 00:00:00.0,47,,,Unconfirmed,2020-09-05 00:00:00.0,,,,0
15,INV15,2020-09-01 00:00:00.0,41,,,Posted,2020-09-05 00:00:00.0,,,,8500
9,N9,2020-09-01 00:00:00.0,35,,,Posted,2020-09-05 00:00:00.0,,,,7000
43,INV43,2020-09-01 00:00:00.0,69,,,Posted,2020-09-05 00:00:00.0,,,,13415
669,N669,2020-10-26 00:00:00.0,86,,,Posted,2020-10-26 00:00:00.0,,,,
44,N44,2020-09-01 00:00:00.0,70,,,Posted,2020-09-05 00:00:00.0,,,,13132
8847,INVI220,2022-11-01 00:00:00.0,631,,,Posted,2022-11-05 00:00:00.0,,,,12350
1112,N1112,2020-11-05 00:00:00.0,208,,,Posted,2020-11-05 00:00:00.0,,,,
670,N670,2020-10-26 00:00:00.0,86,,,Posted,2020-10-26 00:00:00.0,,,,
8,INV8,2020-09-01 00:00:00.0,34,,,Cancelled,2020-09-05 00:00:00.0,,,,7500
135,INV135,2020-09-01 00:00:00.0,161,,,Posted,2020-09-05 00:00:00.0,,,,28057
4,INV4,2020-09-01 00:00:00.0,30,,,Posted,2020-09-05 00:00:00.0,,,,10000
22,INV22,2020-09-01 00:00:00.0,48,,,Unconfirmed,2020-09-05 00:00:00.0,,,,10652
23,INV23,2020-09-01 00:00:00.0,49,,,Unconfirmed,2020-09-05 00:00:00.0,,,,13467
24,INV24,2020-09-01 00:00:00.0,50,,,Unconfirmed,2020-09-05 00:00:00.0,,,,12000
25,INV25,2020-09-01 00:00:00.0,51,,,Unconfirmed,2020-09-05 00:00:00.0,,,,12978
26,INV26,2020-09-01 00:00:00.0,52,,,Unconfirmed,2020-09-05 00:00:00.0,,,,12978
27,INV27,2020-09-01 00:00:00.0,53,,,Unconfirmed,2020-09-05 00:00:00.0,,,,49456
28,INV28,2020-09-01 00:00:00.0,54,,,Unconfirmed,2020-09-05 00:00:00.0,,,,12489
29,INV29,2020-09-01 00:00:00.0,55,,,Unconfirmed,2020-09-05 00:00:00.0,,,,11674
30,INV30,2020-09-01 00:00:00.0,56,,,Unconfirmed,2020-09-05 00:00:00.0,,,,12489
31,INV31,2020-09-01 00:00:00.0,57,,,Unconfirmed,2020-09-05 00:00:00.0,,,,12628
32,INV32,2020-09-01 00:00:00.0,58,,,Unconfirmed,2020-09-05 00:00:00.0,,,,0
33,INV33,2020-09-01 00:00:00.0,59,,,Unconfirmed,2020-09-05 00:00:00.0,,,,12652
34,INV34,2020-09-01 00:00:00.0,60,,,Unconfirmed,2020-09-05 00:00:00.0,,,,12860
35,INV35,2020-09-01 00:00:00.0,61,,,Unconfirmed,2020-09-05 00:00:00.0,,,,14000
36,INV36,2020-09-01 00:00:00.0,62,,,Unconfirmed,2020-09-05 00:00:00.0,,,,13326
37,INV37,2020-09-01 00:00:00.0,63,,,Unconfirmed,2020-09-05 00:00:00.0,,,,12334
38,INV38,2020-09-01 00:00:00.0,64,,,Unconfirmed,2020-09-05 00:00:00.0,,,,13163
74,INV74,2020-09-01 00:00:00.0,100,,,Unconfirmed,2020-09-05 00:00:00.0,,,,61335
75,INV75,2020-09-01 00:00:00.0,101,,,Unconfirmed,2020-09-05 00:00:00.0,,,,15978
76,INV76,2020-09-01 00:00:00.0,102,,,Unconfirmed,2020-09-05 00:00:00.0,,,,15528
77,INV77,2020-09-01 00:00:00.0,103,,,Unconfirmed,2020-09-05 00:00:00.0,,,,21467
78,INV78,2020-09-01 00:00:00.0,104,,,Unconfirmed,2020-09-05 00:00:00.0,,,,17778
79,INV79,2020-09-01 00:00:00.0,105,,,Unconfirmed,2020-09-05 00:00:00.0,,,,21703
80,INV80,2020-09-01 00:00:00.0,106,,,Unconfirmed,2020-09-05 00:00:00.0,,,,15978
82,INV82,2020-09-01 00:00:00.0,108,,,Unconfirmed,2020-09-05 00:00:00.0,,,,5500
83,INV83,2020-09-01 00:00:00.0,109,,,Unconfirmed,2020-09-05 00:00:00.0,,,,5500
84,INV84,2020-09-01 00:00:00.0,110,,,Unconfirmed,2020-09-05 00:00:00.0,,,,5500
85,INV85,2020-09-01 00:00:00.0,111,,,Unconfirmed,2020-09-05 00:00:00.0,,,,5500
86,INV86,2020-09-01 00:00:00.0,112,,,Unconfirmed,2020-09-05 00:00:00.0,,,,7000
87,INV87,2020-09-01 00:00:00.0,113,,,Unconfirmed,2020-09-05 00:00:00.0,,,,-3000
88,INV88,2020-09-01 00:00:00.0,114,,,Unconfirmed,2020-09-05 00:00:00.0,,,,15060
90,INV90,2020-09-01 00:00:00.0,116,,,Unconfirmed,2020-09-05 00:00:00.0,,,,14500
91,INV91,2020-09-01 00:00:00.0,117,,,Unconfirmed,2020-09-05 00:00:00.0,,,,18000
92,INV92,2020-09-01 00:00:00.0,118,,,Unconfirmed,2020-09-05 00:00:00.0,,,,7310
93,INV93,2020-09-01 00:00:00.0,119,,,Unconfirmed,2020-09-05 00:00:00.0,,,,8000
94,INV94,2020-09-01 00:00:00.0,120,,,Unconfirmed,2020-09-05 00:00:00.0,,,,18000
95,INV95,2020-09-01 00:00:00.0,121,,,Unconfirmed,2020-09-05 00:00:00.0,,,,10000
96,INV96,2020-09-01 00:00:00.0,122,,,Unconfirmed,2020-09-05 00:00:00.0,,,,12500
97,INV97,2020-09-01 00:00:00.0,123,,,Unconfirmed,2020-09-05 00:00:00.0,,,,18000
98,INV98,2020-09-01 00:00:00.0,124,,,Unconfirmed,2020-09-05 00:00:00.0,,,,32500
99,INV99,2020-09-01 00:00:00.0,125,,,Unconfirmed,2020-09-05 00:00:00.0,,,,7760
100,INV100,2020-09-01 00:00:00.0,126,,,Unconfirmed,2020-09-05 00:00:00.0,,,,11880
101,INV101,2020-09-01 00:00:00.0,127,,,Unconfirmed,2020-09-05 00:00:00.0,,,,9120
195,INV195,2020-09-01 00:00:00.0,3,,,Unconfirmed,2020-09-05 00:00:00.0,,,,8500
196,INV196,2020-09-01 00:00:00.0,7,,,Unconfirmed,2020-09-05 00:00:00.0,,,,55000
197,INV197,2020-09-01 00:00:00.0,8,,,Unconfirmed,2020-09-05 00:00:00.0,,,,7500
198,INV198,2020-09-01 00:00:00.0,9,,,Unconfirmed,2020-09-05 00:00:00.0,,,,15000
199,INV199,2020-09-01 00:00:00.0,10,,,Unconfirmed,2020-09-05 00:00:00.0,,,,8000
200,INV200,2020-09-01 00:00:00.0,11,,,Unconfirmed,2020-09-05 00:00:00.0,,,,41500
201,INV201,2020-09-01 00:00:00.0,12,,,Unconfirmed,2020-09-05 00:00:00.0,,,,7000
202,INV202,2020-09-01 00:00:00.0,13,,,Unconfirmed,2020-09-05 00:00:00.0,,,,7500
203,INV203,2020-09-01 00:00:00.0,14,,,Unconfirmed,2020-09-05 00:00:00.0,,,,0
205,INV205,2020-09-01 00:00:00.0,16,,,Unconfirmed,2020-09-05 00:00:00.0,,,,23000
206,INV206,2020-09-01 00:00:00.0,17,,,Unconfirmed,2020-09-05 00:00:00.0,,,,14000
207,INV207,2020-09-01 00:00:00.0,18,,,Unconfirmed,2020-09-05 00:00:00.0,,,,7500
208,INV208,2020-09-01 00:00:00.0,19,,,Unconfirmed,2020-09-05 00:00:00.0,,,,16000
209,INV209,2020-09-01 00:00:00.0,20,,,Unconfirmed,2020-09-05 00:00:00.0,,,,16500
137,INV137,2020-09-01 00:00:00.0,163,,,Unconfirmed,2020-09-05 00:00:00.0,,,,33152
138,INV138,2020-09-01 00:00:00.0,164,,,Unconfirmed,2020-09-05 00:00:00.0,,,,17605
139,INV139,2020-09-01 00:00:00.0,165,,,Unconfirmed,2020-09-05 00:00:00.0,,,,350
210,INV210,2020-09-01 00:00:00.0,21,,,Unconfirmed,2020-09-05 00:00:00.0,,,,26000
211,INV211,2020-09-01 00:00:00.0,22,,,Unconfirmed,2020-09-05 00:00:00.0,,,,7500
212,INV212,2020-09-01 00:00:00.0,23,,,Unconfirmed,2020-09-05 00:00:00.0,,,,12000
213,INV213,2020-09-01 00:00:00.0,24,,,Unconfirmed,2020-09-05 00:00:00.0,,,,4000
214,INV214,2020-09-01 00:00:00.0,25,,,Unconfirmed,2020-09-05 00:00:00.0,,,,12800
215,INV215,2020-09-01 00:00:00.0,26,,,Unconfirmed,2020-09-05 00:00:00.0,,,,13000
216,INV216,2020-09-01 00:00:00.0,27,,,Unconfirmed,2020-09-05 00:00:00.0,,,,9000
217,INV217,2020-09-01 00:00:00.0,28,,,Unconfirmed,2020-09-05 00:00:00.0,,,,9000
218,INV218,2020-09-01 00:00:00.0,29,,,Unconfirmed,2020-09-05 00:00:00.0,,,,14500
