Id,TenancyId,DocumentType,DocumentNo,ExternalDocRef,TransactionDate,TransactionAmount
5,31,Invoice,INV5,,2020-09-10 16:30:05.343835,10500
6,32,Invoice,INV6,,2020-09-10 16:30:09.164843,0
7,33,Invoice,INV7,,2020-09-10 16:30:14.223485,15500
9,6,Receipt,R1,RC3562324,2020-09-10 16:41:45.046201,-7000
11,7,Receipt,R2,OIG4LVKKFC,2020-09-16 23:50:51.799778,-1.00
12,20,Receipt,R3,OIH5LXMKOF,2020-09-17 06:58:58.544983,-2000.00
13,37,Receipt,R4,OIH5MO26ZB,2020-09-17 18:36:43.85941,-7000.00
14,121,Receipt,R5,OII2NEG76G,2020-09-18 13:56:13.538952,-5000.00
15,160,Receipt,R6,OII6NF80CS,2020-09-18 14:16:00.17504,-11000.00
16,126,Receipt,R7,OII9NOX6GH,2020-09-18 18:01:08.151012,-9000.00
17,154,Receipt,R8,OIJ6O437D0,2020-09-19 07:40:49.097016,-10500.00
18,148,Receipt,R9,OIJ0OFD0U8,2020-09-19 12:46:49.649271,-3000.00
19,71,Receipt,R10,OIK8PWPGY6,2020-09-20 19:03:06.807808,-13650.00
360,6,Invoice,N385,,2020-10-01 00:00:04.482391,7000
21,65,Invoice,INV39,,2020-09-21 14:17:33.022463,12915
22,16,Receipt,R12,OIH1MM45N5,2020-09-21 14:32:55.450788,-2000.00
25,68,Receipt,R16,OIG2LOSH0M,2020-09-21 23:14:59.516502,-13652
28,161,Receipt,R19,OIG0LFD6K0,2020-09-21 23:34:10.496215,-19350
29,94,Receipt,R20,OIG8LF1VSC,2020-09-21 23:36:47.300555,-20300
30,60,Receipt,R23,OIG9L1JU4J,2020-09-21 23:50:49.717584,-11500
31,110,Receipt,R21,OIG7L381YZ,2020-09-21 23:50:59.621172,-5500
33,138,Receipt,R24,OIG4KUYNCA,2020-09-21 23:51:12.136846,-34000
34,21,Receipt,R25,OIM3S4UMH7,2020-09-22 20:49:47.107285,-2100.00
35,95,Receipt,R26,OIM9S5J10V,2020-09-22 21:09:03.452293,-16304.00
36,152,Receipt,R27,OIN5SA8CDJ,2020-09-23 07:52:39.960888,-9450.00
37,31,Receipt,R28,OIN3SNG82L,2020-09-23 14:07:33.850676,-3000.00
38,35,Receipt,R29,OI90DJ0VU2,2020-09-23 21:22:08.037416,-7000
39,92,Receipt,R30,OI84D97I7K,2020-09-23 21:22:09.366783,-15652
40,155,Receipt,R31,OI88CTQYPM,2020-09-23 21:22:09.457752,-10300
41,79,Receipt,R32,OI96DLUC3W,2020-09-23 21:22:09.561493,-13326
42,73,Receipt,R33,OI89CIVDOL,2020-09-23 21:22:09.650687,-13652
43,140,Receipt,R34,OI85CGCUTV,2020-09-23 21:22:09.734279,-13720
44,111,Receipt,R35,OI78C5KPJW,2020-09-23 21:22:09.835837,-5500
45,39,Receipt,R36,OI71C3FP33,2020-09-23 21:22:09.936144,-7000
